versioned_ensembl_gene_id,synonym
ENSG00000000003.14,"TSPAN-6,TM4SF6,T245"
ENSG00000000005.5,"myodulin,ChM1L,BRICD4,tendin,TEM"
ENSG00000000419.12,"MPDS,CDGIE"
ENSG00000000457.13,"PACE1,PACE-1"
ENSG00000000460.16,FLJ10706
ENSG00000000938.12,"c-fgr,SRC2,p55c-fgr"
ENSG00000000971.15,"FHL1,ARMS1,ARMD4,HUS,HF2,HF1,HF"
ENSG00000001036.13,"MGC1314,dJ20N2.5"
ENSG00000001084.10,"GLCLC,GLCL,GCS"
ENSG00000001167.14,"HAP2,NF-YA,CBF-B"
ENSG00000001460.17,"MAPO2,FLJ33340,C1orf201"
ENSG00000001461.16,"NPAL3,DJ462O23.2"
ENSG00000001497.16,FLJ12525
ENSG00000001561.6,"NPP4,KIAA0879"
ENSG00000001617.11,"SEMAK,Sema4"
ENSG00000001626.14,"CF,ABCC7,ABC35,TNR-CFTR,MRP7,dJ760C5.1,CFTR/MRP"
ENSG00000001629.9,"KIAA1386,DKFZP434A0225"
ENSG00000001630.15,"CP51,P450L1,P450-14DM,LDM,CYPL1,CYP51"
ENSG00000001631.15,"CAM,CCM1"
ENSG00000002079.14,"MYH5,MYH16P,MHC20"
ENSG00000002330.13,"BCL2L8,BBC2"
ENSG00000002549.12,"PEPS,LAPEP,LAP"
ENSG00000002586.18,MIC2
ENSG00000002587.9,3OST1
ENSG00000002726.20,"DAO,ABP1"
ENSG00000002746.14,"NEDL1,KIAA0322"
ENSG00000002822.15,"PIG9,MAD1,HsMAD1,TXBP181,TP53I9"
ENSG00000002834.17,"MLN50,Lasp-1"
ENSG00000002933.7,"MS4B1,HCA112"
ENSG00000003056.7,"CD-MPR,CD-M6PR"
ENSG00000003096.14,"KIAA1309,FLJ10262,BKLHD2"
ENSG00000003137.8,P450RAI-2
ENSG00000003147.17,"ICAp69,ICA69"
ENSG00000003249.13,"MGC3101,FLJ12582"
ENSG00000003393.14,ALS2CR6
ENSG00000003400.14,MCH4
ENSG00000003402.19,"MRIT,I-FLICE,FLIP,FLAME,CLARP,Casper,CASP8AP1,CASH,c-FLIP"
ENSG00000003436.15,"TFPI1,TFI,LACI,EPI"
ENSG00000003509.15,"PRO1853,MidA,C2orf56"
ENSG00000003756.16,"LUCA15,H37"
ENSG00000003989.17,"HCAT2,CAT-2,ATRC2"
ENSG00000004139.13,"SARM,SAMD2,KIAA0524"
ENSG00000004142.11,"PDIP38,DKFZP586F1524"
ENSG00000004399.12,KIAA0620
ENSG00000004478.7,"FKBP59,FKBP52"
